codice_diritto;descrizione
10;Proprietà
1s;Proprietà  superficiaria
1t;Proprietà  per l'area
20;Nuda proprietà
2s;Nuda proprietà  superficiaria
30;Abitazione
3;Comproprietario
3s;Abitazione su proprietà  superficiaria
40;Diritto del concedente
4;Comproprietario per
50;Enfiteusi
60;Superficie
70;Uso
7;Comproprietario del fabbricato
7s;Uso proprietà  superficiaria
7s;Uso proprietà  superficiaria
80;Usufrutto
8a;Usufrutto con diritto di accrescimento
8e;Usufrutto su enfiteusi
8s;Usufrutto su proprietà  superficiaria
8;Comproprietario per l'area
90;Servità
100;Oneri
12;Concedente in parte
14;Livellario parziale per
15;Usufruttuario parziale per
20;Livellario
21;Livellario per
22;Livellario in parte
25;Enfiteuta in parte
26;Colono perpetuo
27;Colono perpetuo per
28;Colono perpetuo in parte
30;Usufruttuario parziale
33;Cousufruttuario generale
36;Usufruttuario generale di livello
37;Usufruttuario parziale di livello
39;Usufruttuario parziale di enfiteusi
40;Usufruttuario generale di colonia
41;Usufruttuario parziale di colonia
42;Usufruttuario generale di dominio diretto
43;Usufruttuario parziale di dominio diretto
50;Cousufruttuario per
52;Usuario perpetuo
53;Usuario a tempo determinato
60;Cousufruttuario di livello
61;Cousufruttuario generale di livello
62;Usufruttuario di livello di
64;Comproprietario per parte di
70;Usufruttuario di colonia per
71;Usufruttuario di dominio diretto per
72;Cousufruttuario generale con diritto di
16;Utilista della superficie
17;Utilista della superficie per
35;Beneficiario
65;Beneficiario per
54;Beneficiario di dominio diretto
46;Possessore
47;Possessore per
48;Compossessore
49;Compossessore per
55;Contestatario
56;Contestatario per
57;Contestatario per usufrutto
99;Presenza di titolo non codificato
990;Presenza di titolo non codificato
0;Assenza di titolo
